ControlPointId,PointType,Ignored,Held,Invalid,UniversalLatitude,UniversalLongitude,Radius,Filename,Sample,Line,PixelValue,RightAscension,Declination,PlanetocentricLatitude,PlanetographicLatitude,PositiveEast360Longitude,PositiveEast180Longitude,PositiveWest360Longitude,PositiveWest180Longitude,BodyFixedCoordinateX,BodyFixedCoordinateY,BodyFixedCoordinateZ,LocalRadius,SampleResolution,LineResolution,SpacecraftPositionX,SpacecraftPositionY,SpacecraftPositionZ,SpacecraftAzimuth,SlantDistance,TargetCenterDistance,SubSpacecraftLatitude,SubSpacecraftLongitude,SpacecraftAltitude,OffNadirAngle,SubSpacecraftGroundAzimuth,SunPositionX,SunPositionY,SunPositionZ,SubSolarAzimuth,SolarDistance,SubSolarLatitude,SubSolarLongitude,SubSolarGroundAzimuth,Phase,Incidence,Emission,NorthAzimuth,EphemerisTime,UTC,LocalSolarTime,SolarLongitude,ZScoreMin,ZScoreMax,SampleError,LineError,ErrorMagnitude,Type,IsMeasured,IsValidated,Ignore,GoodnessOfFit,Error,
test006,Tie,0,0,0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,.cub,265.6597682,136.2545061,0.0047437,260.9807334,64.03326032,-84.7319466,-84.7319466,17.27663215,17.27663215,342.7233679,-17.27663215,152.4850865,47.42560075,-1731.904277,1739250.791,185.3277318,185.3277318,205.446225,90.91444936,-2455.068712,177.2239988,726.4041313,2465.326747,-84.77142699,23.87043833,724.9522055,1.446560044,90.45782865,131706310.9,70619731.51,3224549.405,90.93075998,0.999207397,1.236072536,28.19980647,0.999259196,85.9264602,86.06420429,2.050667879,79.06897411,-182174920.9,1994-03-24T23:50:18.9050328,11.27178838,127.0208232,-1.79769313486231e+308,-1.79769313486231e+308,0,0,0,2,1,0,0,-1.79769313486231e+308,N/A,
test006,Tie,0,0,0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,.cub,115.8214851,149.1357432,0.00482613,260.681686,66.08535787,-84.73194702,-84.73194702,17.27665799,17.27665799,342.723342,-17.27665799,152.4853037,47.42574372,-1731.907125,1739253.65,187.0076895,187.0076895,217.052067,54.34043824,-2462.013934,345.4317003,732.9888351,2472.16041,-84.80715236,14.05547681,734.3846913,0.719175039,254.0346819,142092325.2,46513002.91,3175614.909,92.29448563,0.999647231,1.216775827,18.12552426,0.078131326,86.24628325,85.94996621,1.022256703,91.38030006,-182103311.6,1994-03-25T19:43:48.2160328,11.94340892,129.0179102,-1.79769313486231e+308,-1.79769313486231e+308,0,0,0,2,1,0,0,-1.79769313486231e+308,N/A,
test007,Tie,0,0,0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,.cub,185.3155531,146.3040213,0.0127408,260.7788855,65.21358428,-84.73194685,-84.73194685,22.66430032,22.66430032,337.3356997,-22.66430032,147.4417885,61.56832147,-1732.883764,1740234.432,184.9962046,184.9962046,205.446225,90.91444936,-2455.068712,195.8530621,725.1046889,2465.326747,-84.77142699,23.87043833,724.9522055,0.281222298,109.0881598,131706310.9,70619731.51,3224549.405,91.11399515,0.999207382,1.236072536,28.19980647,0.508704733,86.09473738,85.99327195,0.398398999,85.55380161,-182174920.9,1994-03-24T23:50:18.9050328,11.63096626,127.0208232,-1.79769313486231e+308,-1.79769313486231e+308,0,0,0,2,1,0,0,-1.79769313486231e+308,N/A,
test007,Tie,0,0,0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,.cub,35.50547212,143.4345432,0.0193527,259.8834974,67.21795706,-84.73194707,-84.73194707,22.66429271,22.66429271,337.3357073,-22.66429271,147.4419105,61.56834942,-1732.885171,1740235.845,186.8778039,186.8778039,217.052067,54.34043824,-2462.013934,357.0125578,732.47974,2472.16041,-84.80715236,14.05547681,734.3846913,1.871564902,260.2498681,142092325.2,46513002.91,3175614.909,92.15505086,0.999647234,1.216775827,18.12552426,355.450959,86.2112123,85.96592267,2.659206861,96.43092749,-182103311.6,1994-03-25T19:43:48.2160328,12.30258456,129.0179102,-1.79769313486231e+308,-1.79769313486231e+308,0,0,0,2,1,0,0,-1.79769313486231e+308,N/A,
test008,Tie,0,0,0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,.cub,380.8975242,192.1647328,0.00506414,263.4266842,62.52042935,-84.23727954,-84.23727954,10.87150317,10.87150317,349.1284968,-10.87150317,171.2677578,32.89263903,-1728.096589,1736874.317,186.2666686,186.2666686,205.446225,90.91444936,-2455.068712,193.428373,730.0843553,2465.326747,-84.77142699,23.87043833,724.9522055,3.215163645,106.6633092,131706310.9,70619731.51,3224549.405,91.15648635,0.999207332,1.236072536,28.19980647,1.718529188,86.7149995,85.73583293,4.566053747,74.54296594,-182174920.9,1994-03-24T23:50:18.9050328,10.84477978,127.0208232,-1.79769313486231e+308,-1.79769313486231e+308,0,0,0,2,1,0,0,-1.79769313486231e+308,N/A,
test008,Tie,0,0,0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,.cub,217.9077564,225.7180125,0.00480681,263.9416908,64.80275987,-84.23727882,-84.23727882,10.87148867,10.87148867,349.1285113,-10.87148867,171.2677354,32.89258979,-1728.096062,1736873.789,187.688495,187.688495,217.052067,54.34043824,-2462.013934,238.5227938,735.6572967,2472.16041,-84.80715236,14.05547681,734.3846913,1.524516675,150.3357372,142092325.2,46513002.91,3175614.909,92.30766047,0.999647141,1.216775827,18.12552426,0.728691575,87.30577549,85.50089824,2.170167053,85.13012791,-182103311.6,1994-03-25T19:43:48.2160328,11.51639763,129.0179102,-1.79769313486231e+308,-1.79769313486231e+308,0,0,0,2,1,0,0,-1.79769313486231e+308,N/A,
test009,Tie,0,0,0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,.cub,303.1098747,211.5320858,0.00490115,263.6555573,63.6859747,-84.23727636,-84.23727636,15.79799395,15.79799395,344.2020061,-15.79799395,167.9620506,47.52211802,-1729.658314,1738443.984,185.6514952,185.6514952,205.446225,90.91444936,-2455.068712,207.3433381,727.673143,2465.326747,-84.77142699,23.87043833,724.9522055,2.242378571,120.5791825,131706310.9,70619731.51,3224549.405,91.29969696,0.999207305,1.236072536,28.19980647,1.239288407,87.01678275,85.60863337,3.180789641,77.96687093,-182174920.9,1994-03-24T23:50:18.9050328,11.1732125,127.0208232,-1.79769313486231e+308,-1.79769313486231e+308,0,0,0,2,1,0,0,-1.79769313486231e+308,N/A,
test009,Tie,0,0,0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,.cub,138.0120268,229.5388305,0.0057342,263.6674903,65.96608713,-84.23727683,-84.23727683,15.79802758,15.79802758,344.2019724,-15.79802758,167.9620445,47.52222279,-1729.658681,1738444.351,187.2734081,187.2734081,217.052067,54.34043824,-2462.013934,285.3277423,734.0303367,2472.16041,-84.80715236,14.05547681,734.3846913,1.405952648,195.4061815,142092325.2,46513002.91,3175614.909,92.23210753,0.999647132,1.216775827,18.12552426,0.234373778,87.40732857,85.45947663,1.999544723,90.11583057,-182103311.6,1994-03-25T19:43:48.2160328,11.84483355,129.0179102,-1.79769313486231e+308,-1.79769313486231e+308,0,0,0,2,1,0,0,-1.79769313486231e+308,N/A,
test010,Tie,0,0,0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,.cub,223.3004373,224.0739849,0.0485699,263.6617735,64.86636346,-84.23727709,-84.23727709,20.72454903,20.72454903,339.275451,-20.72454903,163.3281999,61.79656866,-1730.376899,1739166.216,185.3517963,185.3517963,205.446225,90.91444936,-2455.068712,235.766086,726.4984539,2465.326747,-84.77142699,23.87043833,724.9522055,1.467754386,149.0032487,131706310.9,70619731.51,3224549.405,91.23651821,0.999207288,1.236072536,28.19980647,0.750768371,87.2208508,85.52304821,2.080821156,83.49580149,-182174920.9,1994-03-24T23:50:18.9050328,11.5016495,127.0208232,-1.79769313486231e+308,-1.79769313486231e+308,0,0,0,2,1,0,0,-1.79769313486231e+308,N/A,
test010,Tie,0,0,0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,.cub,57.78396796,226.3387214,0.0473951,263.1048042,67.11724123,-84.23727629,-84.23727629,20.72458055,20.72458055,339.2754195,-20.72458055,163.3281389,61.79664827,-1730.376371,1739165.689,187.1751654,187.1751654,217.052067,54.34043824,-2462.013934,319.7068792,733.6452679,2472.16041,-84.80715236,14.05547681,734.3846913,2.023707399,224.8798019,142092325.2,46513002.91,3175614.909,92.03372034,0.999647132,1.216775827,18.12552426,357.3933457,87.40765217,85.4606517,2.877237107,95.50233756,-182103311.6,1994-03-25T19:43:48.2160328,12.17327042,129.0179102,-1.79769313486231e+308,-1.79769313486231e+308,0,0,0,2,1,0,0,-1.79769313486231e+308,N/A,
