ControlPointId,PointType,ChooserName,DateTime,EditLock,Ignored,AprioriSurfacePointSource,AprioriSurfacePointSourceFile,AprioriRadiusSource,AprioriRadiusSourceFile,AprioriX,AprioriY,AprioriZ,AprioriXSigma,AprioriYSigma,AprioriZSigma,AprioriLatitude,AprioriLongitude,AprioriLocalRadius,AprioriLatitudeSigma,AprioriLongitudeSigma,AprioriLocalRadiusSigma,AprioriLatitudeSigmaDistance,AprioriLongitudeSigmaDistance,X,Y,Z,XSigma,YSigma,ZSigma,Latitude,Longitude,LocalRadius,LatitudeSigma,LongitudeSigma,LocalRadiusSigma,LatitudeSigmaDistance,LongitudeSigmaDistance,MinimumResidual,MaximumResidual,AverageResidual,MinimumSampleResidual,MaximumSamlpeResidual,MinimumLineResidual,MaximumLineResidual,AprioriLine,AprioriSample,ChooserName,ComputedEphemerisTime,CubeSerialNumber,DateTime,Line,LineResidual,LineSigma,Sample,SampleResidual,SampleSigma,MeasuredEphemerisTime,ResidualMagnitude,MeasureType,Filename,Sample,Line,PixelValue,RightAscension,Declination,PlanetocentricLatitude,PlanetographicLatitude,PositiveEast360Longitude,PositiveEast180Longitude,PositiveWest360Longitude,PositiveWest180Longitude,BodyFixedCoordinateX,BodyFixedCoordinateY,BodyFixedCoordinateZ,LocalRadius,SampleResolution,LineResolution,SpacecraftPositionX,SpacecraftPositionY,SpacecraftPositionZ,SpacecraftAzimuth,SlantDistance,TargetCenterDistance,SubSpacecraftLatitude,SubSpacecraftLongitude,SpacecraftAltitude,OffNadirAngle,SubSpacecraftGroundAzimuth,SunPositionX,SunPositionY,SunPositionZ,SubSolarAzimuth,SolarDistance,SubSolarLatitude,SubSolarLongitude,SubSolarGroundAzimuth,Phase,Incidence,Emission,NorthAzimuth,EphemerisTime,UTC,LocalSolarTime,SolarLongitude,
test001,Tie,cnettable,2010-11-03T18:17:55,0,0,None,,None,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Application autoseed,0,Clementine1/UVVIS/1994-03-24T23:50:18.898,2009-09-03T11:42:03,22.4025,0,0,382.612,0,0,0,0,Reference,.cub,382.61217299632,22.402496619913,0.00331381,258.24723214821,62.083642813893,-85.222333290504,-85.222333290504,7.6674117065991,7.6674117065991,352.3325882934,-7.6674117065991,143.41323910902,19.307176350895,-1731.3632304602,1737400.0,186.21461918729,186.21461918729,205.44622495147,90.914449363715,-2455.0687121083,151.65385119832,729.88034433626,2465.3267470304,-84.771426987694,23.870438333619,727.92674703035,3.5187476211405,64.341955651927,131706310.88118,70619731.513389,3224549.4051731,91.660252351155,0.99920753939126,1.2360725357798,28.199806472357,1.6766784920129,84.270365278369,86.7626860249,4.9962053551795,71.18418171694,-182174920.90933,1994-03-24T23:50:18.9050328,10.631173682283,127.02082320405,
test001,Tie,cnettable,2010-11-03T18:17:55,0,0,None,,None,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Application autoseed,0,Clementine1/UVVIS/1994-03-25T19:43:48.209,2009-09-03T11:42:03,60.9427,0,0,252.97,0,0,1.30851e-315,0,Candidate,.cub,252.97002112283,60.942683295066,0.0049703,258.74312720499,63.945852894572,-85.212216747638,-85.212216747638,7.6647264514474,7.6647264514474,352.33527354855,-7.6647264514474,143.71711186425,19.341228021654,-1731.3376529886,1737400.0,187.56692269205,187.56692269205,217.05206704526,54.340438237869,-2462.0139341886,139.20519343472,735.18078611687,2472.1604104862,-84.80715235935,14.055476809875,734.76041048619,1.6242735720142,50.766267166493,142092325.17835,46513002.914525,3175614.9086014,92.530214357088,0.9996473451175,1.2167758271664,18.125524258299,0.86991967171252,84.924406733014,86.509273663384,2.3115093329523,82.070273630072,-182103311.59833,1994-03-25T19:43:48.2160328,11.302613479543,129.01791019464,
test002,Tie,cnettable,2010-11-03T18:17:55,0,0,None,,None,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Application autoseed,0,Clementine1/UVVIS/1994-03-24T23:50:18.898,2009-09-03T11:42:03,45.2871,0,0,306.53,0,0,0,0,Reference,.cub,306.52994541645,45.287117807634,0.00321958,258.40790370692,63.240114089,-85.215126698544,-85.215126698544,13.520308500539,13.520308500539,346.47969149946,-13.520308500539,140.90851218,33.881969019438,-1731.3450156946,1737400.0,185.94675650496,185.94675650496,205.44622495147,90.914449363715,-2455.0687121083,146.05771032474,728.83043908357,2465.3267470304,-84.771426987694,23.870438333619,727.92674703035,2.3950931898307,58.745684703612,131706310.88118,70619731.513389,3224549.4051731,91.664488873848,0.99920750811298,1.2360725357798,28.199806472357,1.2133513716423,84.631663861338,86.608118342484,3.3995814332009,77.002043624359,-182174920.90933,1994-03-24T23:50:18.9050328,11.021366801879,127.02082320405,
test002,Tie,cnettable,2010-11-03T18:17:55,0,0,None,,None,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Application autoseed,0,Clementine1/UVVIS/1994-03-25T19:43:48.209,2009-09-03T11:42:03,68.5628,0,0,173.897,0,0,1.30867e-315,0,Candidate,.cub,173.89733554865,68.562838215513,0.00487755,258.39839486419,65.097250630656,-85.20777435373,-85.20777435373,13.549665757322,13.549665757322,346.45033424268,-13.549665757322,141.10711915595,34.006215076138,-1731.3264043096,1737400.0,187.49656528554,187.49656528554,217.05206704526,54.340438237869,-2462.0139341886,94.456485861771,734.90501567353,2472.1604104862,-84.80715235935,14.055476809875,734.76041048619,0.95284336345463,6.018378374549,142092325.17835,46513002.914525,3175614.9086014,92.518258733363,0.99964733120307,1.2167758271664,18.125524258299,0.38261423757156,85.08540254007,86.440497758147,1.3558725245071,87.929362854399,-182103311.59833,1994-03-25T19:43:48.2160328,11.694942766602,129.01791019464,
test003,Tie,cnettable,2010-11-03T18:17:55,0,0,None,,None,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Application autoseed,0,Clementine1/UVVIS/1994-03-24T23:50:18.898,2009-09-03T11:42:03,60.2622,0,0,227.746,0,0,0,0,Reference,.cub,227.7456282044,60.262221211582,0.00396184,258.30101787221,64.410559996506,-85.208989691493,-85.208989691493,19.411859502859,19.411859502859,340.58814049714,-19.411859502859,136.86128814254,48.22831171901,-1731.3294827261,1737400.0,185.79453657747,185.79453657747,205.44622495147,90.914449363715,-2455.0687121083,126.76899543514,728.23380315039,2465.3267470304,-84.771426987694,23.870438333619,727.92674703035,1.3967391979071,39.456798540666,131706310.88118,70619731.513389,3224549.4051731,91.658853751721,0.99920748664153,1.2360725357798,28.199806472357,0.73249313287256,84.88103538673,86.501998777742,1.9821367183213,82.866205213471,-182174920.90933,1994-03-24T23:50:18.9050328,11.4141368687,127.02082320405,
test003,Tie,cnettable,2010-11-03T18:17:55,0,0,None,,None,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Application autoseed,0,Clementine1/UVVIS/1994-03-25T19:43:48.209,2009-09-03T11:42:03,67.9696,0,0,93.7629,0,0,1.30853e-315,0,Candidate,.cub,93.762852796485,67.969648132629,0.00394784,257.7239744743,66.234714908938,-85.203762441077,-85.203762441077,19.479298424016,19.479298424016,340.52070157598,-19.479298424015,136.95333950954,48.442040381535,-1731.3162367173,1737400.0,187.54591471449,187.54591471449,217.05206704526,54.340438237869,-2462.0139341886,41.144330519054,735.09844397876,2472.1604104862,-84.80715235935,14.055476809875,734.76041048619,1.4566221172274,307.30462646084,142092325.17835,46513002.914525,3175614.9086014,92.503512256279,0.99964732757054,1.2167758271664,18.125524258299,358.64388709919,85.129209391931,86.422542119254,2.0728682065147,93.834612288968,-182103311.59833,1994-03-25T19:43:48.2160328,12.090251611048,129.01791019464,
test004,Tie,cnettable,2010-11-03T18:17:55,0,0,None,,None,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Application autoseed,0,Clementine1/UVVIS/1994-03-24T23:50:18.898,2009-09-03T11:42:03,67.1186,0,0,147.074,0,0,0,0,Reference,.cub,147.07403840223,67.118606570079,0.0216343,257.88994762138,65.580944762079,-85.202993898344,-85.202993898344,25.347867499971,25.347867499971,334.65213250003,-25.347867499971,131.30351594741,62.201148662774,-1731.3142879919,1737400.0,185.7625808356,185.7625808356,205.44622495147,90.914449363715,-2455.0687121083,71.392463388896,728.10855053607,2465.3267470304,-84.771426987694,23.870438333619,727.92674703035,1.0748512428581,342.6096507593,131706310.88118,70619731.513389,3224549.4051731,91.647273571045,0.99920747524649,1.2360725357798,28.199806472357,0.23885744233601,85.014818579438,86.445675599502,1.52527747666,88.778820513683,-182174920.90933,1994-03-24T23:50:18.9050328,11.809870735174,127.02082320405,
test004,Tie,cnettable,2010-11-03T18:17:55,0,0,None,,None,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Application autoseed,0,Clementine1/UVVIS/1994-03-25T19:43:48.209,2009-09-03T11:42:03,59.1256,0,0,13.5213,0,0,1.3087e-315,0,Candidate,.cub,13.521266594097,59.125561593576,0.028667,256.68290391097,67.339199868762,-85.199261736241,-85.199261736241,25.449505083881,25.449505083881,334.55049491612,-25.449505083881,131.29480189224,62.482432494001,-1731.3048202514,1737400.0,187.7170612432,187.7170612432,217.05206704526,54.340438237869,-2462.0139341886,25.606111671726,735.76926395975,2472.1604104862,-84.80715235935,14.055476809875,734.76041048619,2.5151521241492,285.81901672809,142092325.17835,46513002.914525,3175614.9086014,92.490573112255,0.99964733431737,1.2167758271664,18.125524258299,352.66356657549,85.054774613675,86.455891510194,3.5800098687767,99.777863100759,-182103311.59833,1994-03-25T19:43:48.2160328,12.488265388372,129.01791019464,
test005,Tie,cnettable,2010-11-03T18:17:55,0,0,None,,None,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Application autoseed,1.31059e-315,Clementine1/UVVIS/1994-03-24T23:50:18.898,2009-09-03T11:42:03,118.851,0,0,343.901,0,0,1.31085e-315,0,Reference,.cub,343.90065233229,118.85097158184,0.00399211,260.97874421358,62.926380321124,-84.72298200228,-84.72298200228,12.194997978075,12.194997978075,347.80500202193,-12.194997978075,156.18495041281,33.754109215199,-1730.0363237157,1737400.0,185.97688201519,185.97688201519,205.44622495147,90.914449363715,-2455.0687121083,174.08370929213,728.94851798564,2465.3267470304,-84.771426987694,23.870438333619,727.92674703035,2.5465401499527,86.772679327715,131706310.88118,70619731.513389,3224549.4051731,91.696245416463,0.99920741835298,1.2360725357798,28.199806472357,1.4563324793763,85.691765321839,86.164410767331,3.6146839666074,75.714680313697,-182174920.90933,1994-03-24T23:50:18.9050328,10.933012767048,127.02082320405,
test005,Tie,cnettable,2010-11-03T18:17:55,0,0,None,,None,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,-1.79769313486231e+308,-1.79769313486231e+308,-1.79769313486231e+308,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Application autoseed,1.3105e-315,Clementine1/UVVIS/1994-03-25T19:43:48.209,2009-09-03T11:42:03,147.289,0,0,195.941,0,0,1.30867e-315,0,Candidate,.cub,195.94082915175,147.28944640475,0.00481693,261.22540515817,65.015466172824,-84.715153706571,-84.715153706571,12.261666426066,12.261666426066,347.73833357393,-12.261666426066,156.37654935878,33.986020635003,-1730.0144754342,1737400.0,187.46768730866,187.46768730866,217.05206704526,54.340438237869,-2462.0139341886,206.86321110941,734.79182655982,2472.1604104862,-84.80715235935,14.055476809875,734.76041048619,0.44416275068875,118.42735291679,142092325.17835,46513002.914525,3175614.9086014,92.527618005474,0.99964723407578,1.2167758271664,18.125524258299,0.54051272646905,86.220918053638,85.960270540098,0.63200923089251,86.651448735759,-182103311.59833,1994-03-25T19:43:48.2160328,11.609076144518,129.01791019464,
