 1, 8.5180E+01,  8.0631E-01,  4.9021E-04, -2.9630290E-07
 2, 1.9633E+03,  9.5557E-01,  4.1897E-05,  0.0000000E+00
 3, 4.6946E+01, -1.0325E+00,  4.1604E-03, -2.1182256E-06
 4, 6.2758E+01, -1.0288E+00,  3.9466E-03, -1.9200537E-06
 5, 7.6947E+01, -2.4806E-01,  2.5649E-03, -1.3114699E-06
 6, 2.0880E+01,  4.0058E+00, -4.2228E-03,  1.3026514E-06
 7, 8.0114E+01,  1.2296E-01,  1.5675E-03, -7.0187040E-07
 8, 4.3513E+01,  1.9273E+00, -2.6913E-03,  1.7104290E-06
 9, 4.8655E+01,  2.7795E+00, -4.9030E-03,  3.0380316E-06
10, 5.4447E+01,  7.3872E-01, -1.6836E-04,  3.8775680E-07
11, 8.4546E+01,  1.7110E+00, -3.4829E-03,  2.6519439E-06
12, 6.8462E+01,  9.7077E-01, -1.8015E-04,  1.9122500E-07
