Coordinated_Universal_Time,Pt_Longitude, Pt_Latitude,   Pt_Radius,    Pt_Range, Pt_PulseW, Pt_Energy,Pt_noi,Pt_Thr, Pt_Gn,   Flg,S,Frm,Mission_ET,   Subseconds,Terrestrial_Dyn_Time, TX_Energy_mJ,TX_PulseW,SC_Longitude, SC_Latitude,   SC_radius,     Geoid,Offnadir,Emission, Sol_INC, Sol_Phs, Earth_Centr.,Earth_PW,Earth_E.
2010-01-27T06:20:05.62096834,  99.1037725,  61.0015740, 1735.294789,   56.518163,    20.119,    0.0372,     9, 25.58, 49.23,   0,4, 14,  19235979, 0.5096526206, 317845271.804968357,    2.599736,     8.589,  99.1217285,  60.9988795, 1791.812801,1736.93844,   0.264,   0.272,  76.000,  77.220, 0.0000000000,   0.000,   7.825
2010-01-27T06:20:05.62096834,  99.1063456,  61.0010940, 1735.295060,   56.517702,    20.395,    0.0414,     9, 30.43, 50.16,   0,5, 14,  19235979, 0.5096526206, 317845271.804968357,    2.599736,     8.589,  99.1217285,  60.9988795, 1791.812801,1736.93844,   0.264,   0.272,  76.000,  77.220, 0.0000000000,   0.000,   7.825
2010-01-27T06:20:05.65668297,  99.1046891,  61.0026100, 1735.294367,   56.518481,    25.792,    0.0541,     5, 30.79, 50.21,   0,1, 15,  19235979, 0.5453672402, 317845271.840682983,    2.579266,     8.814,  99.1218087,  61.0007658, 1791.812787,1736.93842,   0.264,   0.272,  77.003,  77.220, 0.0000000000,   0.000,   7.825
2010-01-27T06:20:05.65668297,  99.1054903,  61.0017507, 1735.294692,   56.518083,    22.519,    0.0301,     9, 29.30, 49.87,   0,2, 15,  19235979, 0.5453672402, 317845271.840682983,    2.579266,     8.814,  99.1218087,  61.0007658, 1791.812787,1736.93842,   0.264,   0.272,  77.003,  77.220, 0.0000000000,   0.000,   7.825
2010-01-27T06:20:05.65668297,  99.1028986,  61.0022308, 1735.294684,   56.518281,    21.083,    0.0372,     7, 29.57, 49.97,   0,3, 15,  19235979, 0.5453672402, 317845271.840682983,    2.579266,     8.814,  99.1218087,  61.0007658, 1791.812787,1736.93842,   0.264,   0.272,  77.003,  77.220, 0.0000000000,   0.000,   7.825
2010-01-27T06:20:05.65668297,  99.1038506,  61.0034605, 1735.295425,   56.517513,    19.696,    0.0361,     9, 25.58, 49.23,   0,4, 15,  19235979, 0.5453672402, 317845271.840682983,    2.579266,     8.814,  99.1218087,  61.0007658, 1791.812787,1736.93842,   0.264,   0.272,  77.003,  77.220, 0.0000000000,   0.000,   7.825
2010-01-27T06:20:05.65668297,  99.1064238,  61.0029806, 1735.295663,   56.517086,    22.450,    0.0424,     9, 30.43, 50.16,   0,5, 15,  19235979, 0.5453672402, 317845271.840682983,    2.579266,     8.814,  99.1218087,  61.0007658, 1791.812787,1736.93842,   0.264,   0.272,  77.003,  77.220, 0.0000000000,   0.000,   7.825
2010-01-27T06:20:05.69239676,  99.1047676,  61.0044964, 1735.295878,   56.516956,    24.948,    0.0464,     3, 30.79, 50.21,   0,1, 16,  19235979, 0.5810810309, 317845271.876396775,    2.579266,     8.617,  99.1218889,  61.0026521, 1791.812773,1736.93841,   0.264,   0.272,  77.003,  77.220, 0.0000000000,   0.000,   7.825
2010-01-27T06:20:05.69239676,  99.1055688,  61.0036372, 1735.296055,   56.516706,    21.224,    0.0330,    11, 29.30, 49.87,   0,2, 16,  19235979, 0.5810810309, 317845271.876396775,    2.579266,     8.617,  99.1218889,  61.0026521, 1791.812773,1736.93841,   0.264,   0.272,  77.003,  77.220, 0.0000000000,   0.000,   7.825
2010-01-27T06:20:05.69239676,  99.1029765,  61.0041173, 1735.294806,   56.518145,    20.942,    0.0360,     9, 29.57, 49.97,   0,3, 16,  19235979, 0.5810810309, 317845271.876396775,    2.579266,     8.617,  99.1218889,  61.0026521, 1791.812773,1736.93841,   0.264,   0.272,  77.003,  77.220, 0.0000000000,   0.000,   7.825
