J2000Q0,J2000Q1,J2000Q2,J2000Q3,ET
0.73322383744573,0.032371095653154,0.57909231743456,0.35494648083317,258141077.53609
0.73322381535469,0.03237109290367,0.57909234137514,0.35494648765918,258141077.53619
0.73322379325685,0.032371090154179,0.57909236532386,0.35494649448598,258141077.53628
0.73322377116609,0.032371087404972,0.57909238926603,0.35494650130881,258141077.53638
0.73322374906852,0.032371084655764,0.57909241321634,0.35494650813241,258141077.53647
0.73322372697792,0.032371081908535,0.5790924371598,0.35494651495261,258141077.53657
0.73322370488063,0.032371079159606,0.5790924611117,0.35494652177302,258141077.53666
0.7332236827903,0.032371076412663,0.57909248505674,0.35494652859003,258141077.53676
0.7332236606934,0.032371073662323,0.57909250901054,0.35494653540667,258141077.53686
0.73322363860335,0.03237107091566,0.57909253295717,0.3549465422205,258141077.53695
0.73322361651343,0.032371068169137,0.5790925569046,0.35494654903273,258141077.53705
0.73322359441682,0.03237106542092,0.57909258086048,0.35494655584515,258141077.53714
0.73322357232729,0.032371062672988,0.57909260480981,0.35494656265361,258141077.53724
0.73322355023096,0.032371059925048,0.57909262876728,0.35494656946284,258141077.53733
0.7332235281417,0.032371057177395,0.5790926527182,0.35494657626811,258141077.53743
0.73322350604563,0.032371054429744,0.57909267667727,0.35494658307414,258141077.53752
0.73322348395653,0.032371051684076,0.57909270062949,0.35494658987679,258141077.53762
0.73322346186073,0.032371048936705,0.57909272459015,0.35494659667964,258141077.53771
0.7332234397719,0.032371046191329,0.57909274854397,0.35494660347908,258141077.53781
0.73322341767637,0.032371043444242,0.57909277250623,0.35494661027874,258141077.53791
0.73322339558792,0.032371040697445,0.57909279646194,0.35494661707443,258141077.538
0.73322337349949,0.032371037952493,0.57909282041815,0.35494662386909,258141077.5381
0.73322335140436,0.032371035205839,0.57909284438281,0.35494663066395,258141077.53819
0.73322332931631,0.032371032459474,0.57909286834092,0.35494663745485,258141077.53829
0.73322330722145,0.032371029713107,0.57909289230718,0.35494664424651,258141077.53838
0.73322328513366,0.032371026967031,0.5790929162669,0.35494665103422,258141077.53848
0.73322326303906,0.032371024220946,0.57909294023476,0.35494665782269,258141077.53857
0.73322324095143,0.032371021476854,0.57909296419577,0.35494666460778,258141077.53867
0.7332232188571,0.032371018731061,0.57909298816524,0.35494667139305,258141077.53877
