Sample,Line,TranslatedSample,TranslatedLine,SampleDifference,LineDifference,ZScoreMin,ZScoreMax,GoodnessOfFit
-1.79769e+308
2042.34,71.2944,2042.34,71.2944,0,0,0,0,0
40.9825,73.3477,2042.34,71.2944,1.14221,-2.36501,-1.81268,1.92097,0.953031
2002.64,66.5738,2002.64,66.5738,0,0,0,0,0
0,0,2002.64,66.5738,0,0,0,0,0
2029.69,169.763,2029.69,169.763,0,0,0,0,0
29.4926,169.44,2029.69,169.763,0,0,0,0,0
2017.05,268.23,2017.05,268.23,0,0,0,0,0
16.8591,267.897,2017.05,268.23,0,0,0,0,0
2044.11,371.418,2044.11,371.418,0,0,0,0,0
43.915,371.092,2044.11,371.418,0,0,0,0,0
2004.4,366.698,2004.4,366.698,0,0,0,0,0
4.22452,366.353,2004.4,366.698,0,0,0,0,0
2031.46,469.885,2031.46,469.885,0,0,0,0,0
0,0,2031.46,469.885,0,0,0,0,0
2018.82,568.353,2018.82,568.353,0,0,0,0,0
18.6461,568.005,2018.82,568.353,0,0,0,0,0
2045.88,671.539,2045.88,671.539,0,0,0,0,0
45.7075,671.2,2045.88,671.539,0,0,0,0,0
2006.17,666.819,2006.17,666.819,0,0,0,0,0
6.00991,666.461,2006.17,666.819,0,0,0,0,0
