 103, 887, 509, 852, 853, 469, 812, 703,1654
 104, 899, 514, 860, 866, 474, 820, 716,1670
 105, 912, 519, 869, 878, 479, 829, 729,1686
 106, 924, 525, 877, 891, 485, 837, 742,1702
 107, 937, 530, 886, 904, 490, 846, 756,1719
 108, 949, 535, 894, 917, 495, 854, 769,1735
 109, 962, 541, 903, 930, 501, 863, 782,1751
 110, 975, 547, 912, 943, 506, 872, 796,1767
 111, 988, 552, 921, 956, 512, 881, 810,1783
 112,1002, 558, 929, 969, 518, 890, 824,1799
 113,1015, 564, 938, 983, 524, 898, 838,1815
 114,1028, 569, 947, 996, 529, 907, 852,1831
 115,1042, 575, 956,1010, 535, 916, 866,1847
 116,1055, 581, 965,1023, 541, 925, 881,1863
 117,1069, 587, 974,1037, 547, 935, 895,1879
 118,1083, 594, 984,1051, 554, 944, 910,1895
 119,1097, 600, 993,1065, 560, 953, 925,1911
 120,1111, 606,1002,1080, 566, 962, 940,1927
 121,1125, 612,1011,1094, 572, 972, 955,1943
 122,1140, 619,1021,1109, 579, 981, 970,1959
 123,1154, 625,1030,1123, 585, 991, 985,1976
 124,1169, 632,1040,1138, 592,1000,1001,1992
 125,1183, 639,1050,1153, 598,1010,1016,2008
 126,1198, 645,1059,1168, 605,1020,1032,2024
 127,1213, 652,1069,1183, 612,1029,1048,2040
 128,1228, 659,1079,1198, 619,1039,1063,2056
 129,1243, 666,1089,1214, 626,1049,1079,2072
 130,1259, 673,1099,1229, 633,1059,1096,2088
 131,1274, 680,1109,1245, 640,1069,1112,2104
 132,1289, 687,1119,1260, 647,1079,1129,2120
 133,1305, 694,1130,1276, 654,1090,1145,2136
 134,1321, 701,1140,1292, 661,1100,1162,2152
 135,1337, 709,1150,1308, 668,1111,1179,2168
 136,1353, 716,1161,1324, 676,1121,1196,2184
 137,1369, 723,1171,1340, 683,1132,1213,2200
 138,1385, 731,1182,1357, 691,1142,1230,2217
 139,1401, 738,1193,1373, 698,1153,1247,2233
 140,1418, 746,1204,1390, 706,1164,1264,2249
 141,1435, 754,1215,1407, 714,1175,1282,2265
 142,1451, 762,1226,1424, 722,1186,1299,2281
 143,1468, 770,1237,1441, 730,1197,1317,2297
 144,1485, 778,1248,1458, 738,1208,1335,2313
 145,1502, 786,1259,1475, 746,1219,1353,2329
 146,1519, 794,1270,1492, 754,1231,1371,2345
